%
%
% Run:wwm   Table:BUOYS             SWAN version:41.51
%
%       Hsig          Tm01          Tm02          Dspr          Dir           RTpeak        TPsmoo        Dist          Depth         Botlev      X-Windv       Y-Windv         Watlev   
%       [m]           [sec]         [sec]         [degr]        [degr]        [sec]         [sec]         [m]           [m]           [m]           [m/s]         [m/s]         [m]      
%
      0.05035        0.9268        0.7962       12.6198       313.220        1.3144        1.2682       114031.        1.5000        1.0000        1.3910       -1.2482        0.5000 
      0.05305        0.9293        0.7985       13.1455       309.700        1.3144        1.2686       114099.        1.5000        1.0000        1.3854       -1.2451        0.5000 
      0.05291        0.9321        0.8010       12.8393       310.967        1.3144        1.2707       114156.        1.5000        1.0000        1.3923       -1.2463        0.5000 
      1.42716        8.1966        5.8803       27.1655       273.319       20.2338       20.0865       122532.        4.3996        3.8996        2.9456       -2.1549        0.5000 
      1.42150        8.1820        5.8550       27.8425       273.879       20.2338       20.0863       122599.        4.7998        4.2998        2.9631       -2.1669        0.5000 
      1.43881        8.1870        5.8739       27.8480       274.719       20.2338       20.0861       122657.        4.5000        4.0000        2.9588       -2.1613        0.5000 
      1.81892        8.5299        6.7159       19.4152       219.237       20.2338       20.1344            0.        3.1959        2.6959        2.4039       -1.6538        0.5000 
      1.85601        8.6811        6.8678       25.0895       223.675       20.2338       20.1362           64.        3.5038        3.0038        2.4168       -1.6517        0.5000 
      1.58826        8.5815        6.6965       32.5139       235.697       20.2338       20.1468          110.        2.1989        1.6989        2.4144       -1.6551        0.5000 
      1.76782        8.5589        6.7298       25.6566       235.885       20.2338       20.1395          166.        3.1985        2.6985        2.4262       -1.6519        0.5000 
      2.49026        8.6217        6.5327       22.1818       233.661       20.2338       20.2204        69765.        9.4982        8.9982       -0.0940       -7.8311        0.5000 
      2.49056        8.9709        6.8795       18.7317       231.809       20.2338       20.2256        69937.        6.5012        6.0012       -0.0846       -7.7827        0.5000 
      2.56073        8.9671        6.8546       22.2124       230.994       20.2338       20.2239        70077.        7.2997        6.7997       -0.1431       -7.8840        0.5000 
      0.04860        0.9235        0.7927       12.5245       312.610        1.1999        1.2397       114031.        1.5000        1.0000        0.2294       -2.5753        0.5000 
      0.05077        0.9407        0.8082       12.7346       308.286        1.3144        1.2584       114099.        1.5000        1.0000        0.2223       -2.5736        0.5000 
      0.05127        0.9418        0.8092       12.6676       309.855        1.3144        1.2618       114156.        1.5000        1.0000        0.2258       -2.5731        0.5000 
      1.42449        8.1387        5.8596       27.2802       273.311       20.2338       20.0820       122532.        4.3996        3.8996        1.6372       -3.9930        0.5000 
      1.41908        8.1231        5.8380       27.9671       273.878       20.2338       20.0819       122599.        4.7998        4.2998        1.6492       -4.0162        0.5000 
      1.43614        8.1364        5.8603       27.9715       274.744       20.2338       20.0816       122657.        4.5000        4.0000        1.6486       -4.0088        0.5000 
      1.81706        8.5108        6.7082       19.4343       219.266       20.2338       20.0358            0.        3.1959        2.6959        2.1018       -1.8963        0.5000 
      1.85416        8.6590        6.8483       25.1109       223.710       20.2338       20.0373           64.        3.5038        3.0038        2.1074       -1.8944        0.5000 
      1.58682        8.5617        6.6878       32.5169       235.721       20.2338       20.0522          110.        2.1989        1.6989        2.1105       -1.8928        0.5000 
      1.76629        8.5394        6.7220       25.6649       235.905       20.2338       20.0417          166.        3.1985        2.6985        2.1137       -1.8920        0.5000 
      2.48754        8.6206        6.5217       22.1978       233.570       20.2338       20.2199        69765.        9.4982        8.9982       -1.2352       -8.2366        0.5000 
      2.48819        8.9693        6.8788       18.7272       231.743       20.2338       20.2251        69937.        6.5012        6.0012       -1.2336       -8.2336        0.5000 
      2.55829        8.9616        6.8438       22.2164       230.910       20.2338       20.2234        70077.        7.2997        6.7997       -1.2406       -8.2388        0.5000 
      0.03044        0.9329        0.8045        9.0425       305.220        1.1999        1.2098       114031.        1.5000        1.0000        0.0371       -2.0595        0.5000 
      0.03466        0.9519        0.8222        8.8817       301.093        1.1999        1.2182       114099.        1.5000        1.0000        0.0336       -2.0672        0.5000 
      0.03463        0.9498        0.8203        8.8940       302.557        1.1999        1.2192       114156.        1.5000        1.0000        0.0405       -2.0616        0.5000 
      1.41781        8.1493        5.8795       27.3068       273.159       20.2338       20.0729       122532.        4.3996        3.8996        1.6431       -3.2946        0.5000 
      1.41204        8.1460        5.8844       27.9896       273.718       20.2338       20.0729       122599.        4.7998        4.2998        1.6604       -3.3173        0.5000 
      1.42949        8.1535        5.8972       27.9880       274.588       20.2338       20.0722       122657.        4.5000        4.0000        1.6597       -3.3099        0.5000 
      1.81608        8.5008        6.7048       19.4283       219.264       20.2338       20.0064            0.        3.1959        2.6959        0.8219       -2.6030        0.5000 
      1.85328        8.6479        6.8440       25.0973       223.697       20.2338       20.0071           64.        3.5038        3.0038        0.8283       -2.6002        0.5000 
      1.58602        8.5503        6.6828       32.5005       235.697       20.2338       20.0191          110.        2.1989        1.6989        0.8320       -2.6044        0.5000 
      1.76548        8.5282        6.7178       25.6518       235.877       20.2338       20.0103          166.        3.1985        2.6985        0.8357       -2.6002        0.5000 
      2.48459        8.6330        6.5568       22.1684       233.455       20.2338       20.2191        69765.        9.4982        8.9982       -3.3407       -7.7229        0.5000 
      2.48565        8.9794        6.9205       18.6832       231.655       20.2338       20.2243        69937.        6.5012        6.0012       -3.3537       -7.7092        0.5000 
      2.55551        8.9758        6.9011       22.1661       230.797       20.2338       20.2226        70077.        7.2997        6.7997       -3.3642       -7.7287        0.5000 
      0.02921        0.9951        0.8618        7.5185       303.352        1.3144        1.2859       114031.        1.5000        1.0000       -0.1753       -1.9254        0.5000 
      0.03395        1.0039        0.8705        7.5426       299.843        1.3144        1.2905       114099.        1.5000        1.0000       -0.1785       -1.9280        0.5000 
      0.03366        1.0032        0.8699        7.4649       301.186        1.3144        1.2893       114156.        1.5000        1.0000       -0.1731       -1.9269        0.5000 
      1.41003        8.2232        6.0498       27.3174       272.791       20.2338       20.0488       122532.        4.3996        3.8996        0.9286       -1.7189        0.5000 
