%
%
% Run:wwm   Table:BUOYS             SWAN version:41.51
%
%       Hsig          Tm01          Tm02          Dspr          Dir           RTpeak        TPsmoo        Dist          Depth         Botlev      X-Windv       Y-Windv         Watlev   
%       [m]           [sec]         [sec]         [degr]        [degr]        [sec]         [sec]         [m]           [m]           [m]           [m/s]         [m/s]         [m]      
%
      1.82776        8.3985        6.7241       24.9716       223.816       18.4714       18.6441           64.        3.5038        3.0038        2.7009       -2.5046        0.5000 
      1.56542        8.2998        6.5671       32.2499       235.496       18.4714       18.6560          110.        2.1989        1.6989        2.7027       -2.5148        0.5000 
      1.74328        8.2810        6.6015       25.4878       235.664       18.4714       18.6473          166.        3.1985        2.6985        2.7121       -2.5179        0.5000 
      2.43064        8.3860        6.4044       22.4034       232.880       18.4714       18.8699        69765.        9.4982        8.9982        3.6906       -7.3543        0.5000 
      2.43342        8.7026        6.7028       18.9133       231.254       18.4714       18.8808        69937.        6.5012        6.0012        3.6868       -7.3359        0.5000 
      2.50111        8.6897        6.6603       22.3664       230.224       18.4714       18.8776        70077.        7.2997        6.7997        3.7006       -7.3768        0.5000 
      0.07585        0.9535        0.8270       15.7054       308.801        1.1999        1.2129       114031.        1.5000        1.0000        1.4888       -2.7991        0.5000 
      0.07238        0.9403        0.8137       16.2634       299.432        1.1999        1.2105       114099.        1.5000        1.0000        1.4851       -2.7966        0.5000 
      0.07823        0.9585        0.8320       16.7180       303.050        1.1999        1.2133       114156.        1.5000        1.0000        1.4900       -2.7980        0.5000 
      1.34334        7.7659        5.5780       27.6483       271.380       18.4714       18.8742       122532.        4.3996        3.8996        2.7975       -4.8893        0.5000 
      1.33661        7.7216        5.5510       28.3264       271.950       18.4714       18.8732       122599.        4.7998        4.2998        2.8155       -4.9282        0.5000 
      1.35624        7.7346        5.5459       28.2994       272.844       18.4714       18.8686       122657.        4.5000        4.0000        2.8114       -4.9130        0.5000 
      1.78348        8.2419        6.5876       19.4774       219.537       18.4714       18.5664            0.        3.1959        2.6959        2.7410       -2.5788        0.5000 
      1.82360        8.3718        6.7084       24.9680       223.915       18.4714       18.5673           64.        3.5038        3.0038        2.7540       -2.5976        0.5000 
      1.56248        8.2734        6.5540       32.2125       235.548       18.4714       18.5791          110.        2.1989        1.6989        2.7557       -2.6113        0.5000 
      1.73983        8.2541        6.5871       25.4637       235.717       18.4714       18.5706          166.        3.1985        2.6985        2.7656       -2.6208        0.5000 
      2.41911        8.3544        6.4037       22.3998       232.839       18.4714       18.7116        69765.        9.4982        8.9982        4.1845       -6.1559        0.5000 
      2.42219        8.6600        6.6849       18.9138       231.219       18.4714       18.7179        69937.        6.5012        6.0012        4.1817       -6.1362        0.5000 
      2.48948        8.6518        6.6572       22.3486       230.168       18.4714       18.7143        70077.        7.2997        6.7997        4.2005       -6.1808        0.5000 
      0.09120        0.9083        0.7860       18.0119       308.377        1.1999        1.1807       114031.        1.5000        1.0000        1.5610       -2.1689        0.5000 
      0.08455        0.9014        0.7793       18.2578       296.896        1.1999        1.1757       114099.        1.5000        1.0000        1.5569       -2.1655        0.5000 
      0.09853        0.9013        0.7797       19.8496       302.634        1.1999        1.1752       114156.        1.5000        1.0000        1.5606       -2.1676        0.5000 
      1.33399        7.7186        5.5579       27.6866       271.017       18.4714       18.7169       122532.        4.3996        3.8996        2.8184       -4.3987        0.5000 
      1.32713        7.6707        5.5258       28.3611       271.569       18.4714       18.7163       122599.        4.7998        4.2998        2.8351       -4.4375        0.5000 
      1.34682        7.6887        5.5265       28.3278       272.463       18.4714       18.7147       122657.        4.5000        4.0000        2.8316       -4.4234        0.5000 
      1.77967        8.2296        6.5807       19.4995       219.627       18.4714       18.5485            0.        3.1959        2.6959        2.6583       -1.8212        0.5000 
      1.82015        8.3571        6.6992       24.9620       224.019       18.4714       18.5491           64.        3.5038        3.0038        2.6715       -1.8332        0.5000 
      1.56021        8.2582        6.5462       32.1735       235.608       18.4714       18.5579          110.        2.1989        1.6989        2.6745       -1.8428        0.5000 
      1.73703        8.2387        6.5785       25.4360       235.781       18.4714       18.5515          166.        3.1985        2.6985        2.6841       -1.8485        0.5000 
      2.40823        8.3283        6.3940       22.3694       232.816       18.4714       18.6177        69765.        9.4982        8.9982        4.0377       -5.3583        0.5000 
      2.41127        8.6353        6.6936       18.8723       231.186       18.4714       18.6227        69937.        6.5012        6.0012        4.0345       -5.3393        0.5000 
      2.47851        8.6237        6.6525       22.3140       230.136       18.4714       18.6208        70077.        7.2997        6.7997        4.0517       -5.3852        0.5000 
      0.13811        0.8658        0.7475       24.0910       309.047        1.1999        1.1625       114031.        1.5000        1.0000        1.8531       -1.9551        0.5000 
      0.14326        0.8534        0.7362       27.3029       298.231        1.1999        1.1539       114099.        1.5000        1.0000        1.8481       -1.9525        0.5000 
      0.13784        0.8431        0.7275       25.6981       297.136        1.1999        1.1476       114156.        1.5000        1.0000        1.8530       -1.9542        0.5000 
      1.32498        7.6947        5.5557       27.7362       270.599       18.4714       18.6361       122532.        4.3996        3.8996        3.0704       -3.5187        0.5000 
      1.31787        7.6474        5.5273       28.4057       271.131       18.4714       18.6354       122599.        4.7998        4.2998        3.0866       -3.5481        0.5000 
      1.33759        7.6777        5.5570       28.3668       272.023       18.4714       18.6348       122657.        4.5000        4.0000        3.0829       -3.5372        0.5000 
      1.77649        8.2251        6.5772       19.5255       219.722       18.4714       18.5465            0.        3.1959        2.6959        2.3935       -0.5937        0.5000 
      1.81729        8.3509        6.6940       24.9623       224.133       18.4714       18.5471           64.        3.5038        3.0038        2.3964       -0.5926        0.5000 
      1.55855        8.2525        6.5432       32.1406       235.688       18.4714       18.5555          110.        2.1989        1.6989        2.3977       -0.5956        0.5000 
      1.73479        8.2318        6.5739       25.4133       235.863       18.4714       18.5493          166.        3.1985        2.6985        2.3995       -0.5934        0.5000 
      2.39761        8.3277        6.4138       22.2640       232.700       18.4714       18.5752        69765.        9.4982        8.9982        3.6659       -2.4725        0.5000 
      2.40140        8.6264        6.7088       18.8102       231.108       18.4714       18.5805        69937.        6.5012        6.0012        3.6621       -2.4581        0.5000 
      2.46804        8.6199        6.6819       22.2230       230.022       18.4714       18.5782        70077.        7.2997        6.7997        3.6888       -2.4846        0.5000 
      0.05719        0.8295        0.7156       14.6425       300.661        1.0954        1.1038       114031.        1.5000        1.0000        1.8377       -0.9318        0.5000 
      0.05148        0.8240        0.7100       15.2867       292.539        1.0954        1.0903       114099.        1.5000        1.0000        1.8331       -0.9308        0.5000 
      0.05273        0.8260        0.7120       15.0934       294.233        1.0954        1.0913       114156.        1.5000        1.0000        1.8380       -0.9303        0.5000 
      1.31694        7.7281        5.6546       27.7554       270.102       18.4714       18.5710       122532.        4.3996        3.8996        3.1699       -1.8687        0.5000 
      1.30955        7.6779        5.6038       28.4259       270.604       18.4714       18.5704       122599.        4.7998        4.2998        3.1870       -1.8848        0.5000 
      1.32929        7.7205        5.6641       28.3771       271.500       18.4714       18.5697       122657.        4.5000        4.0000        3.1840       -1.8792        0.5000 
      1.77350        8.2187        6.5718       19.5319       219.797       18.4714       18.5415            0.        3.1959        2.6959        2.3806       -0.4163        0.5000 
      1.81460        8.3428        6.6863       24.9375       224.216       18.4714       18.5422           64.        3.5038        3.0038        2.3820       -0.4142        0.5000 
      1.55691        8.2461        6.5385       32.0863       235.727       18.4714       18.5514          110.        2.1989        1.6989        2.3843       -0.4186        0.5000 
      1.73265        8.2225        6.5662       25.3668       235.907       18.4714       18.5445          166.        3.1985        2.6985        2.3845       -0.4149        0.5000 
      2.38666        8.3074        6.4123       22.2324       232.644       18.4714       18.5198        69765.        9.4982        8.9982        3.7811       -2.1184        0.5000 
      2.39067        8.6005        6.6896       18.7960       231.068       18.4714       18.5245        69937.        6.5012        6.0012        3.7732       -2.1017        0.5000 
      2.45709        8.5905        6.6555       22.1899       229.952       18.4714       18.5228        70077.        7.2997        6.7997        3.8000       -2.1277        0.5000 
      0.13594        0.8182        0.7054       25.1877       299.214        1.0954        1.0879       114031.        1.5000        1.0000        1.7310       -1.0433        0.5000 
      0.06783        0.8435        0.7258       20.4521       285.306        1.0954        1.1133       114099.        1.5000        1.0000        1.7246       -1.0432        0.5000 
      0.06335        0.8603        0.7405       17.3732       291.453        1.1999        1.1464       114156.        1.5000        1.0000        1.7320       -1.0431        0.5000 
      1.30869        7.7265        5.6583       27.8096       269.545       18.4714       18.5348       122532.        4.3996        3.8996        3.1308       -1.9240        0.5000 
      1.30101        7.6750        5.6079       28.4795       270.012       18.4714       18.5341       122599.        4.7998        4.2998        3.1485       -1.9419        0.5000 
      1.32096        7.7169        5.6659       28.4256       270.914       18.4714       18.5345       122657.        4.5000        4.0000        3.1440       -1.9340        0.5000 
      1.76950        8.2026        6.5613       19.5284       219.861       18.4714       18.4979            0.        3.1959        2.6959        2.1305       -0.1595        0.5000 
      1.81098        8.3244        6.6720       24.8977       224.278       18.4714       18.4992           64.        3.5038        3.0038        2.1357       -0.1585        0.5000 
      1.55452        8.2300        6.5287       32.0156       235.727       18.4714       18.5097          110.        2.1989        1.6989        2.1372       -0.1603        0.5000 
      1.72971        8.2036        6.5526       25.3090       235.916       18.4714       18.5022          166.        3.1985        2.6985        2.1409       -0.1587        0.5000 
      2.37615        8.3010        6.4011       22.2086       232.622       18.4714       18.5155        69765.        9.4982        8.9982        4.0533       -1.8519        0.5000 
      2.38084        8.5924        6.6767       18.7819       231.042       18.4714       18.5199        69937.        6.5012        6.0012        4.0498       -1.8344        0.5000 
      2.44682        8.5845        6.6521       22.1671       229.914       18.4714       18.5184        70077.        7.2997        6.7997        4.0812       -1.8557        0.5000 
      0.04526        0.8390        0.7226       13.2876       295.594        1.0954        1.1101       114031.        1.5000        1.0000        1.4675       -0.8134        0.5000 
      0.03894        0.8537        0.7352       12.5899       296.381        1.1999        1.1577       114099.        1.5000        1.0000        1.4611       -0.8145        0.5000 
      0.04027        0.8579        0.7391       11.2113       297.540        1.1999        1.1598       114156.        1.5000        1.0000        1.4673       -0.8150        0.5000 
      1.30021        7.7309        5.6595       27.8296       268.997       18.4714       18.5270       122532.        4.3996        3.8996        2.9772       -1.4416        0.5000 
      1.29210        7.6880        5.6292       28.4953       269.425       18.4714       18.5263       122599.        4.7998        4.2998        2.9959       -1.4577        0.5000 
      1.31209        7.7314        5.6865       28.4324       270.339       18.4714       18.5269       122657.        4.5000        4.0000        2.9916       -1.4502        0.5000 
      1.76529        8.1857        6.5500       19.5368       219.945       18.4714       18.4489            0.        3.1959        2.6959        2.2215        0.1058        0.5000 
      1.80723        8.3063        6.6660       24.8652       224.366       18.4714       18.4496           64.        3.5038        3.0038        2.2277        0.1075        0.5000 
      1.55195        8.2123        6.5183       31.9561       235.764       18.4714       18.4601          110.        2.1989        1.6989        2.2305        0.1046        0.5000 
      1.72660        8.1836        6.5397       25.2629       235.959       18.4714       18.4523          166.        3.1985        2.6985        2.2343        0.1073        0.5000 
      2.36628        8.2942        6.3989       22.1784       232.579       18.4714       18.5147        69765.        9.4982        8.9982        3.9373       -0.6161        0.5000 
      2.37109        8.5922        6.6918       18.7389       231.019       18.4714       18.5191        69937.        6.5012        6.0012        3.9337       -0.6054        0.5000 
      2.43689        8.5758        6.6406       22.1272       229.863       18.4714       18.5176        70077.        7.2997        6.7997        3.9630       -0.6288        0.5000 
      0.02224        0.8743        0.7564        7.6002       302.929        1.1999        1.1651       114031.        1.5000        1.0000        1.5704       -0.5134        0.5000 
      0.02394        0.8640        0.7468        8.3254       298.318        1.1999        1.1625       114099.        1.5000        1.0000        1.5682       -0.5141        0.5000 
      0.02434        0.8665        0.7494        7.7596       300.319        1.1999        1.1621       114156.        1.5000        1.0000        1.5684       -0.5161        0.5000 
      1.29175        7.7815        5.7610       27.8289       268.486       18.4714       18.5178       122532.        4.3996        3.8996        2.5371       -0.7154        0.5000 
      1.28331        7.7337        5.7095       28.4935       268.880       18.4714       18.5171       122599.        4.7998        4.2998        2.5517       -0.7245        0.5000 
      1.30335        7.7774        5.7640       28.4256       269.807       18.4714       18.5169       122657.        4.5000        4.0000        2.5481       -0.7191        0.5000 
      1.76166        8.1763        6.5411       19.5399       220.011       18.4714       18.4418            0.        3.1959        2.6959        2.2683        0.3398        0.5000 
      1.80395        8.2937        6.6452       24.8403       224.435       18.4714       18.4424           64.        3.5038        3.0038        2.2736        0.3397        0.5000 
      1.54995        8.2033        6.5122       31.8922       235.771       18.4714       18.4513          110.        2.1989        1.6989        2.2768        0.3373        0.5000 
      1.72406        8.1734        6.5309       25.2137       235.973       18.4714       18.4447          166.        3.1985        2.6985        2.2798        0.3382        0.5000 
      2.35566        8.2840        6.3910       22.1561       232.565       18.4714       18.5104        69765.        9.4982        8.9982        3.3948       -0.4892        0.5000 
      2.36075        8.5728        6.6479       18.7377       230.991       18.4714       18.5150        69937.        6.5012        6.0012        3.3981       -0.4829        0.5000 
      2.42583        8.5737        6.6523       22.0863       229.822       18.4714       18.5136        70077.        7.2997        6.7997        3.4189       -0.4974        0.5000 
      0.00460        0.8212        0.7077        3.4207       295.284        1.0954        1.0956       114031.        1.5000        1.0000        1.7865        0.1079        0.5000 
      0.00600        0.8188        0.7054        4.0545       293.811        1.0954        1.0907       114099.        1.5000        1.0000        1.7812        0.1102        0.5000 
      0.00621        0.8201        0.7067        3.5563       294.426        1.0954        1.0940       114156.        1.5000        1.0000        1.7854        0.1067        0.5000 
      1.28409        7.7815        5.7883       27.8525       268.077       18.4714       18.4522       122532.        4.3996        3.8996        2.8157       -0.0378        0.5000 
      1.27544        7.7344        5.7379       28.5156       268.455       18.4714       18.4516       122599.        4.7998        4.2998        2.8287       -0.0405        0.5000 
      1.29549        7.7770        5.7832       28.4425       269.386       18.4714       18.4510       122657.        4.5000        4.0000        2.8251       -0.0384        0.5000 
      1.75800        8.1696        6.5330       19.5425       220.083       18.4714       18.4409            0.        3.1959        2.6959        2.4656        0.2258        0.5000 
      1.80071        8.2853        6.6343       24.8084       224.508       18.4714       18.4415           64.        3.5038        3.0038        2.4681        0.2274        0.5000 
      1.54803        8.1972        6.5071       31.8280       235.786       18.4714       18.4503          110.        2.1989        1.6989        2.4671        0.2292        0.5000 
      1.72152        8.1655        6.5226       25.1638       235.994       18.4714       18.4437          166.        3.1985        2.6985        2.4696        0.2298        0.5000 
      2.34176        8.2676        6.3793       22.1355       232.571       18.4714       18.4537        69765.        9.4982        8.9982        2.7032       -0.6933        0.5000 
      2.34737        8.5547        6.6410       18.7139       230.987       18.4714       18.4591        69937.        6.5012        6.0012        2.7048       -0.6878        0.5000 
      2.41190        8.5509        6.6229       22.0585       229.797       18.4714       18.4575        70077.        7.2997        6.7997        2.7194       -0.7060        0.5000 
      0.00389        0.8354        0.7220        2.6790       295.472        1.0954        1.0972       114031.        1.5000        1.0000        1.6360        0.4782        0.5000 
      0.00490        0.8328        0.7195        2.7466       294.747        1.0954        1.0958       114099.        1.5000        1.0000        1.6333        0.4811        0.5000 
      0.00514        0.8329        0.7196        2.5120       295.035        1.0954        1.0957       114156.        1.5000        1.0000        1.6336        0.4791        0.5000 
      1.27759        7.7726        5.8128       27.8810       267.766       18.4714       18.4286       122532.        4.3996        3.8996        2.5084        0.4316        0.5000 
      1.26878        7.7302        5.7776       28.5401       268.124       18.4714       18.4279       122599.        4.7998        4.2998        2.5205        0.4347        0.5000 
      1.28881        7.7766        5.8296       28.4630       269.057       18.4714       18.4284       122657.        4.5000        4.0000        2.5186        0.4337        0.5000 
      1.75395        8.1599        6.5228       19.5473       220.170       18.4714       18.4222            0.        3.1959        2.6959        2.8677        0.4675        0.5000 
      1.79707        8.2727        6.6189       24.7771       224.603       18.4714       18.4229           64.        3.5038        3.0038        2.8727        0.4682        0.5000 
      1.54581        8.1881        6.4996       31.7597       235.817       18.4714       18.4358          110.        2.1989        1.6989        2.8720        0.4690        0.5000 
      1.71860        8.1522        6.5093       25.1119       236.037       18.4714       18.4259          166.        3.1985        2.6985        2.8765        0.4692        0.5000 
      2.32931        8.2490        6.3649       22.1077       232.537       18.4714       18.4100        69765.        9.4982        8.9982        3.9435        1.1051        0.5000 
      2.33526        8.5317        6.6223       18.6917       230.961       18.4714       18.4144        69937.        6.5012        6.0012        3.9399        1.1168        0.5000 
      2.39937        8.5289        6.6107       22.0131       229.746       18.4714       18.4131        70077.        7.2997        6.7997        3.9708        1.1164        0.5000 
      0.00433        0.8279        0.7140        3.3097       295.242        1.0954        1.0974       114031.        1.5000        1.0000        1.9914        0.1987        0.5000 
      0.00554        0.8231        0.7096        3.1911       294.322        1.0954        1.0921       114099.        1.5000        1.0000        1.9839        0.2006        0.5000 
      0.00578        0.8249        0.7113        2.9241       294.721        1.0954        1.0940       114156.        1.5000        1.0000        1.9902        0.1986        0.5000 
      1.27153        7.7269        5.7586       27.9119       267.519       18.4714       18.4217       122532.        4.3996        3.8996        3.4002        0.0550        0.5000 
      1.26269        7.6806        5.7159       28.5693       267.868       18.4714       18.4209       122599.        4.7998        4.2998        3.4164        0.0547        0.5000 
      1.28264        7.7306        5.7678       28.4910       268.807       18.4714       18.4216       122657.        4.5000        4.0000        3.4122        0.0562        0.5000 
