%
%
% Run:wwm   Table:BUOYS             SWAN version:41.51
%
%       Hsig          Tm01          Tm02          Dspr          Dir           RTpeak        TPsmoo        Dist          Depth         Botlev      X-Windv       Y-Windv         Watlev   
%       [m]           [sec]         [sec]         [degr]        [degr]        [sec]         [sec]         [m]           [m]           [m]           [m/s]         [m/s]         [m]      
%
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      0.01920        1.2841        1.0940       48.7904         0.000        1.5772        1.5500       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.70055        8.5549        6.6835       19.9485       222.545       18.4714       18.2712            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.75171        8.6350        6.7407       24.5085       227.191       18.4714       18.2718           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.53017        8.5885        6.6839       30.4722       237.270       18.4714       18.2842          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.68794        8.5198        6.6682       24.5022       237.859       18.4714       18.2734          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      1.94191        9.3439        7.5481       20.8080       236.667       18.4714       18.4385        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      1.94280        9.6563        7.7889       17.5098       233.989       18.4714       18.4435        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.00828        9.6670        7.8380       20.7570       233.018       18.4714       18.4411        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00885        1.0453        0.8940       34.4569         6.058        1.5772        1.5095       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00896        1.0441        0.8929       36.0105         3.801        1.5772        1.5087       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00898        1.0452        0.8939       36.0547         5.586        1.5772        1.5092       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.12722       14.8689       10.6597       24.0562       275.122       18.4714       18.3602       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      0.12663       14.8379       10.5997       24.2381       276.061       18.4714       18.3595       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      0.13023       14.8682       10.6909       24.4043       276.266       18.4714       18.3595       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.74226        8.1445        6.5195       19.5650       220.467       18.4714       18.2307            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.78659        8.2536        6.6154       24.6780       224.917       18.4714       18.2315           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.53939        8.1681        6.4908       31.5463       235.939       18.4714       18.2429          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.71024        8.1265        6.4969       24.9551       236.196       18.4714       18.2342          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.27265        8.4586        6.7326       21.6329       233.286       18.4714       18.3882        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.28201        8.7097        6.9260       18.3101       231.500       18.4714       18.3947        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.34370        8.7423        7.0075       21.5713       230.324       18.4714       18.3924        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00355        0.8844        0.7575       27.9950        19.693        1.1999        1.1724       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00352        0.8808        0.7544       28.9800        19.174        1.1999        1.1638       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00354        0.8808        0.7544       28.6576        20.318        1.1999        1.1637       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.84290       10.3556        8.7719       27.0164       269.329       18.4714       18.2783       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      0.83361       10.3357        8.7597       27.3204       270.092       18.4714       18.2769       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      0.85717       10.2966        8.7158       27.3392       270.626       18.4714       18.2777       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.73832        8.1051        6.4933       19.5564       220.468       18.4714       18.2083            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
