%
%
% Run:wwm   Table:BUOYS             SWAN version:41.51
%
%       Hsig          Tm01          Tm02          Dspr          Dir           RTpeak        TPsmoo        Dist          Depth         Botlev      X-Windv       Y-Windv         Watlev   
%       [m]           [sec]         [sec]         [degr]        [degr]        [sec]         [sec]         [m]           [m]           [m]           [m/s]         [m/s]         [m]      
%
      1.78299        8.2127        6.5869       24.6523       224.904       18.4714       18.2093           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.53646        8.1330        6.4701       31.5095       235.889       18.4714       18.2247          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.70701        8.0901        6.4745       24.9323       236.142       18.4714       18.2116          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.27086        8.3404        6.6289       21.7627       232.898       18.4714       18.2858        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.27931        8.5848        6.8119       18.4245       231.201       18.4714       18.2957        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.34052        8.6129        6.8665       21.6666       229.977       18.4714       18.2930        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00097        0.7649        0.6591       15.0623        25.199        1.0000       -9.0000       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00093        0.7634        0.6579       15.3366        25.087        1.0000       -9.0000       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00094        0.7637        0.6581       14.9514        25.748        1.0000       -9.0000       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.18807        8.0614        6.1093       27.6000       266.967       18.4714       18.2335       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.17803        8.0261        6.0842       28.1655       267.365       18.4714       18.2325       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.19990        8.0615        6.1161       28.1116       268.232       18.4714       18.2330       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.72802        8.0413        6.4489       19.5751       220.622       18.4714       17.7568            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.77362        8.1447        6.5385       24.6044       225.059       18.4714       17.7587           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.52968        8.0723        6.4374       31.3900       235.921       18.4714       17.7992          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.69912        8.0288        6.4418       24.8576       236.188       18.4714       17.7613          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.25468        8.2862        6.5699       21.7940       232.731       18.4714       18.1846        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.26274        8.5344        6.7541       18.4457       231.070       18.4714       18.1933        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.32340        8.5569        6.8011       21.6681       229.785       18.4714       18.1895        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00012        0.7222        0.6243        6.1318        25.689        1.0000       -9.0000       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00011        0.7217        0.6239        6.2996        25.625        1.0000       -9.0000       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00012        0.7220        0.6241        6.0939        25.906        1.0000       -9.0000       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.23371        7.7274        5.8390       27.9452       266.444       18.4714       18.2086       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.22415        7.6972        5.8428       28.5686       266.761       18.4714       18.2076       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.24459        7.7337        5.8480       28.4997       267.700       18.4714       18.2085       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.71717        7.9692        6.4079       19.5812       220.763       16.8625       17.2542            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.76366        8.0671        6.4904       24.5465       225.194       16.8625       17.2552           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.52205        7.9978        6.3990       31.2594       235.923       16.8625       17.2761          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.69058        7.9569        6.4048       24.7784       236.209       16.8625       17.2569          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.22902        8.2096        6.4611       21.8075       232.742       11.7114       11.5125        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.23667        8.4668        6.6870       18.4422       231.065       18.4714       17.8971        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.29623        8.5007        6.7625       21.6350       229.741       18.4714       17.8843        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00001        0.7081        0.6127        2.5922        25.390        1.0000       -9.0000       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00001        0.7079        0.6125        2.7005        25.362        1.0000       -9.0000       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00001        0.7081        0.6126        2.7180        25.478        1.0000       -9.0000       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.23118        7.6799        5.8153       28.0275       266.202       18.4714       18.1964       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.22173        7.6378        5.7745       28.6594       266.503       18.4714       18.1951       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.24194        7.6844        5.8142       28.5825       267.462       18.4714       18.1962       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.71078        7.9365        6.3864       19.5788       220.846       16.8625       17.1801            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.75794        8.0339        6.4691       24.4956       225.261       16.8625       17.1801           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.51797        7.9660        6.3813       31.1639       235.899       16.8625       17.1924          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.68584        7.9256        6.3861       24.7180       236.193       16.8625       17.1814          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.20374        8.1332        6.3870       21.7895       232.746       11.7114       11.4189        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.21008        8.3966        6.6260       18.4154       231.048       11.7114       11.4293        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.26903        8.4340        6.7109       21.5843       229.700       11.7114       11.4275        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00000        0.7004        0.6063        1.2151        25.130        1.0000       -9.0000       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.7000        0.6060        1.2294        25.123        1.0000       -9.0000       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.7008        0.6066        1.3680        25.174        1.0000       -9.0000       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.21822        7.6250        5.7553       28.1115       265.861       18.4714       17.9331       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.20871        7.5852        5.7318       28.7346       266.155       18.4714       17.9282       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.22879        7.6336        5.7663       28.6625       267.124       18.4714       17.9283       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.70204        7.8910        6.3524       19.5750       220.947       16.8625       17.0447            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.75021        7.9871        6.4364       24.4304       225.344       16.8625       17.0452           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.51253        7.9230        6.3573       31.0368       235.855       16.8625       17.0583          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.67949        7.8827        6.3613       24.6417       236.164       16.8625       17.0465          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.17787        8.0675        6.3339       21.7698       232.683       16.8625       17.1815        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.18287        8.3315        6.5799       18.3807       230.984       16.8625       17.1922        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.24144        8.3665        6.6597       21.5137       229.578       16.8625       17.1867        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00000        0.7016        0.6073        1.0304        25.099        1.0000       -9.0000       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.7030        0.6085        1.5041        25.210        1.0000       -9.0000       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.7021        0.6077        1.4381        25.205        1.0000       -9.0000       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.20398        7.5656        5.7262       28.1592       265.537       16.8625       17.4155       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.19455        7.5203        5.6949       28.7799       265.817       16.8625       17.4122       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.21448        7.5739        5.7373       28.7019       266.797       16.8625       17.4112       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.69435        7.8525        6.3249       19.5687       221.034       16.8625       16.9489            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.74343        7.9465        6.4063       24.3715       225.412       16.8625       16.9496           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.50771        7.8855        6.3356       30.9216       235.809       16.8625       16.9602          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.67395        7.8468        6.3405       24.5736       236.135       16.8625       16.9511          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.15164        8.0132        6.2942       21.7463       232.651       16.8625       17.0305        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.15561        8.2729        6.5439       18.3434       230.930       16.8625       17.0385        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.21438        8.2913        6.5866       21.4904       229.518       16.8625       17.0340        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00000        0.7972        0.6925       81.0285        27.531        1.0954        1.0780       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.8318        0.7267       81.0285        28.803        1.0954        1.0831       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.7919        0.6875       81.0285        28.618        1.0954        1.0767       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.19255        7.5200        5.6962       28.1749       265.264       16.8625       17.2111       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.18304        7.4759        5.6675       28.7996       265.534       16.8625       17.2101       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.20297        7.5334        5.7236       28.7226       266.517       16.8625       17.2101       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.68808        7.8339        6.3106       19.5588       221.098       16.8625       16.9314            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.73810        7.9267        6.3919       24.3138       225.454       16.8625       16.9320           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.50427        7.8676        6.3241       30.8156       235.748       16.8625       16.9411          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.66978        7.8298        6.3302       24.5123       236.087       16.8625       16.9335          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.13029        7.9770        6.2736       21.7201       232.621       16.8625       16.9585        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.13338        8.2368        6.5132       18.3231       230.897       16.8625       16.9650        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.19213        8.2450        6.5354       21.4618       229.457       16.8625       16.9628        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00000        0.8444        0.7397       81.0285        27.299        1.0954        1.0842       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.8301        0.7250       81.0285        27.834        1.0954        1.0829       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.8271        0.7219       81.0285        28.075        1.0954        1.0826       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.17914        7.4771        5.6764       28.2301       264.918       16.8625       17.0856       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.16958        7.4325        5.6502       28.8454       265.177       16.8625       17.0838       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.18947        7.4858        5.6832       28.7705       266.168       16.8625       17.0840       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.68065        7.8104        6.2914       19.5527       221.181       16.8625       16.8705            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.73177        7.9019        6.3709       24.2530       225.512       16.8625       16.8711           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.50024        7.8462        6.3106       30.6962       235.687       16.8625       16.8815          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.66485        7.8090        6.3159       24.4474       236.042       16.8625       16.8727          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.10900        7.9509        6.2499       21.6997       232.533       16.8625       16.9077        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.11199        8.2042        6.4823       18.3033       230.829       16.8625       16.9123        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.17000        8.2166        6.5120       21.4203       229.357       16.8625       16.9107        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00000        0.7028        0.6082       81.0285        15.680        1.0000       -9.0000       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.7043        0.6092       81.0285        15.798        1.0000       -9.0000       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.7015        0.6071       81.0285        16.960        1.0000       -9.0000       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.16667        7.4316        5.6436       28.2647       264.635       16.8625       16.9651       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.15715        7.3786        5.5893       28.8850       264.877       16.8625       16.9640       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.17684        7.4544        5.7026       28.7939       265.884       16.8625       16.9641       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.67410        7.7947        6.2771       19.5431       221.244       16.8625       16.8587            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.72629        7.8852        6.3558       24.1946       225.548       16.8625       16.8593           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.49687        7.8321        6.3009       30.5860       235.614       16.8625       16.8680          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.66071        7.7957        6.3062       24.3885       235.983       16.8625       16.8610          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.08855        7.9521        6.2623       21.6774       232.462       16.8625       16.8984        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.09197        8.1847        6.4407       18.2895       230.764       16.8625       16.9028        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.14930        8.2044        6.4928       21.3903       229.259       16.8625       16.9012        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00000        0.6994        0.6055       81.0285        26.023        1.0000       -9.0000       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.6994        0.6055       81.0285        26.112        1.0000       -9.0000       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.6994        0.6055       81.0285        26.149        1.0000       -9.0000       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.15552        7.4122        5.6521       28.3046       264.377       16.8625       16.9217       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.14602        7.3525        5.5769       28.9218       264.610       16.8625       16.9211       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.16575        7.4199        5.6555       28.8318       265.620       16.8625       16.9215       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.66765        7.7861        6.2670       19.5377       221.324       16.8625       16.8577            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.72093        7.8744        6.3424       24.1394       225.607       16.8625       16.8582           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.49376        7.8246        6.2944       30.4751       235.563       16.8625       16.8668          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.65667        7.7887        6.2993       24.3316       235.948       16.8625       16.8598          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.06586        7.9328        6.2421       21.6607       232.407       16.8625       16.8432        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.06894        8.1646        6.4225       18.2722       230.718       16.8625       16.8488        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.12589        8.1815        6.4668       21.3590       229.182       16.8625       16.8464        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00000        0.6993        0.6054       81.0285        27.759        1.0000       -9.0000       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.6993        0.6054       81.0285        28.044        1.0000       -9.0000       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000        0.6993        0.6054       81.0285        27.993        1.0000       -9.0000       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.14379        7.3904        5.6275       28.3564       264.093       16.8625       16.8929       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.13421        7.3360        5.5786       28.9609       264.328       16.8625       16.8921       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.15396        7.3932        5.6155       28.8822       265.339       16.8625       16.8925       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.66134        7.7766        6.2553       19.5303       221.398       16.8625       16.8513            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.71567        7.8641        6.3294       24.0820       225.655       16.8625       16.8518           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.49074        7.8173        6.2880       30.3644       235.506       16.8625       16.8616          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.65272        7.7823        6.2943       24.2728       235.904       16.8625       16.8532          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.04775        7.9134        6.2177       21.6389       232.349       16.8625       16.8247        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.05013        8.1564        6.4299       18.2422       230.669       16.8625       16.8286        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.10713        8.1622        6.4467       21.3328       229.112       16.8625       16.8274        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00000       -9.0000       -9.0000       -9.0000      -999.000       -9.0000       -9.0000       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000       -9.0000       -9.0000       -9.0000      -999.000       -9.0000       -9.0000       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000       -9.0000       -9.0000       -9.0000      -999.000       -9.0000       -9.0000       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.13210        7.3661        5.5993       28.4087       263.825       16.8625       16.8550       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.12248        7.3090        5.5385       29.0134       264.050       16.8625       16.8542       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.14214        7.3756        5.6143       28.9283       265.073       16.8625       16.8545       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.65282        7.7487        6.2341       19.5250       221.494       16.8625       16.7582            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.70840        7.8346        6.3076       24.0181       225.722       16.8625       16.7588           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.48605        7.7907        6.2716       30.2323       235.441       16.8625       16.7708          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.64702        7.7565        6.2776       24.2103       235.860       16.8625       16.7602          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.02728        7.9069        6.2018       21.6395       232.316       16.8625       16.8234        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.03002        8.1392        6.3890       18.2346       230.634       16.8625       16.8272        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.08630        8.1537        6.4358       21.3046       229.056       16.8625       16.8260        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00000       -9.0000       -9.0000       -9.0000      -999.000       -9.0000       -9.0000       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000       -9.0000       -9.0000       -9.0000      -999.000       -9.0000       -9.0000       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000       -9.0000       -9.0000       -9.0000      -999.000       -9.0000       -9.0000       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.12185        7.3475        5.5714       28.4543       263.585       16.8625       16.8388       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.11217        7.2958        5.5395       29.0569       263.800       16.8625       16.8382       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.13175        7.3651        5.6106       28.9716       264.832       16.8625       16.8387       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.64633        7.7329        6.2199       19.5167       221.554       16.8625       16.7399            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
      1.70298        7.8182        6.2936       23.9637       225.754       16.8625       16.7404           64.        3.5038        3.0038        0.0000        0.0000        0.5000 
      1.48272        7.7765        6.2623       30.1253       235.369       16.8625       16.7504          110.        2.1989        1.6989        0.0000        0.0000        0.5000 
      1.64292        7.7442        6.2695       24.1599       235.801       16.8625       16.7419          166.        3.1985        2.6985        0.0000        0.0000        0.5000 
      2.00583        7.9006        6.1881       21.6374       232.298       16.8625       16.8180        69765.        9.4982        8.9982        0.0000        0.0000        0.5000 
      2.00861        8.1277        6.3642       18.2312       230.617       16.8625       16.8224        69937.        6.5012        6.0012        0.0000        0.0000        0.5000 
      2.06429        8.1479        6.4231       21.2835       229.022       16.8625       16.8209        70077.        7.2997        6.7997        0.0000        0.0000        0.5000 
      0.00000       -9.0000       -9.0000       -9.0000      -999.000       -9.0000       -9.0000       114031.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000       -9.0000       -9.0000       -9.0000      -999.000       -9.0000       -9.0000       114099.        1.5000        1.0000        0.0000        0.0000        0.5000 
      0.00000       -9.0000       -9.0000       -9.0000      -999.000       -9.0000       -9.0000       114156.        1.5000        1.0000        0.0000        0.0000        0.5000 
      1.11172        7.3400        5.5789       28.4931       263.358       16.8625       16.8362       122532.        4.3996        3.8996        0.0000        0.0000        0.5000 
      1.10203        7.2815        5.5239       29.1011       263.560       16.8625       16.8355       122599.        4.7998        4.2998        0.0000        0.0000        0.5000 
      1.12155        7.3544        5.6013       29.0126       264.597       16.8625       16.8361       122657.        4.5000        4.0000        0.0000        0.0000        0.5000 
      1.63796        7.7139        6.2019       19.5228       221.662       16.8625       16.6972            0.        3.1959        2.6959        0.0000        0.0000        0.5000 
